"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","lens #1","lens #1",225,-0.700884410352588,-3.02316900901165,1e-10,1.34285714285714e-09,5.26315789473684e-10,2167,"tags=43%, list=10%, signal=39%","itpk1a/eif4e1c/si:ch211-152c2.3/abcf1/hao2/rnd2/capn3a/ivns1abpa/pitx3/cmtm7/crygm3/si:busm1-57f23.1/tdh2/lctla/eif3jb/crygm1/si:ch211-59p23.1/zgc:64065/crybb1l1/cryba1l2/tubb6/zgc:112285/mif4gdb/cyp26a1/zgc:153846/lgsn/foxe3/col28a1a/mipa/tmprss5/cx23/cryba1a/crybb2/crygm2a/lim2.4/zgc:193690/crygm2e/crygmxl1/si:ch73-197b13.1/endou2/mipb/cryba1b/cryba2a/crybgx/crygm2d2/defbl2/crygm2f/tspan33b/crygn1/otc/cryaa/lim2.3/prox2/cryba2b/lim2.1/crygmxl2/crygm2d11/crygm2d13/crygm2d7/si:dkey-57a22.15/bfsp2/crygm2b/crybb1/crygm2d12/lim2.5/crygm2d6/crygn2/crygm2d20/cryba1l1/si:ch211-255g12.6/crygm2d18/grifin/slc7a11/crygm2d15/cryba4/col4a4/crygm2d4/crygm2d9/crygm5/crygm2d1/crygm2c/birc7/crygm2d10/hrasls/crygm2d5/crygm2d14/crygm2d3/si:dkey-177p2.18/sparcl1/crygm2d16/crygm2d21/crygm2d8/crygmx/crybb1l3/col4a3/crybb1l2"
"2","otic/lateral line","otic/lateral line",205,0.702292507733489,3.00948186849254,1e-10,1.34285714285714e-09,5.26315789473684e-10,4268,"tags=71%, list=21%, signal=57%","zgc:158412/kcnk17/tectb/bricd5/si:ch211-133n4.6/dnase1/gstp2/zgc:163083/slc26a4/stm/si:dkeyp-92c9.4/CU914776.1/zgc:193711/si:ch211-243g18.2/otol1a/otomp/lad1/pkp1b/avil/tjp3/chmp4c/cldnf/b4galnt3b/rgs1/si:ch211-80h18.1/prss60.2/tspan35/lsr/oclna/irg1l/f11r.1/si:ch211-105j21.9/foxi3b/atp1a1a.4/six9/ceacam1/si:ch73-105b23.6/si:ch211-79k12.1/tmem238b/si:ch73-347e22.8/si:dkey-205h13.2/fut9b/ptbp1b/s100v1/arhgef16/tmem176l.4/tmem176l.2/elf3/tprg1/mvp/si:ch211-98n17.5/pou2f3/tmem184a/cd9b/vgll4l/itgb6/soul2/si:dkey-87o1.2/svopl/spint2/zgc:165423/elovl7b/ap1m2/esrp2/arrdc1a/tmem54a/si:dkey-222f2.1/si:dkey-16l2.17/jupa/epcam/si:dkey-33i11.4/lipia/moxd1l/esrp1/gbgt1l3/vsig8a/si:ch1073-443f11.2/si:ch211-195b11.3/cldne/si:ch211-137a8.2/ap1s3b/sostdc1b/si:ch211-229d2.5/zgc:92313/capn8/si:ch211-191a24.4/s100u/ponzr5/tmprss13a/btc/glod5/echdc2/si:ch211-153b23.5/zgc:154054/si:dkey-188i13.6/ildr1b/si:ch73-199e17.1/mpzl2b/foxi3a/dbnla/tspan1/muc5.3/rassf7b/zgc:123295/si:dkey-103g5.3/eya1/cd109/nqo1/oclnb/tmprss4a/agr2/gcm2/zgc:112437/zgc:92380/prrg2/serpinb1/gsnb/alcamb/ponzr6/dlx3b/zgc:158343/si:dkeyp-86h10.3/krt8/capn2l/ca15b/gfral/net1/ildr1a/six1b/cbln20/zgc:153911/myb/arf1/igsf9a/fxyd1/tmem238a/zgc:153932/gipc2/rhov/cfl1l/cracr2b/gsto2/TSTD1/icn/grp/tspan13a"
"3","epidermis (progenitors)","epidermis (progenitors)",226,0.648745687296824,2.79491874585636,1e-10,1.34285714285714e-09,5.26315789473684e-10,4362,"tags=63%, list=21%, signal=50%","def6c/arhgef19/si:ch1073-406l10.2/fosl1a/si:dkey-19b23.12/lgals3b/rhbdl2/ripk4/gpr31/epgn/abi3b/itgb1b.2/tjp3/postna/si:dkey-95h12.1/si:dkey-157l19.2/caspa/lsr/oclna/f11r.1/si:rp71-1i20.2/mapk12a/fermt1/fam49ba/si:ch211-105j21.9/entpd3/tp63/htra4/cldni/cx35.4/caspb/s100v1/arhgef16/si:ch73-234b20.5/zgc:92360/sh2d5/CR762483.1/mmp30/cd9b/vgll4l/itgb6/si:dkey-33c14.3/cyp2y3/myo1eb/rac2/cyp2aa6/slc16a12b/spint2/ampd3b/ptk2bb/dennd2da/esrp2/tmem54a/dspa/si:dkey-16l2.20/tnfsf10l4/capgb/jupa/epcam/cebpb/capn2b/capn2a/s100v2/pxna/lipia/lpar3/hcls1/zgc:86896/krt92/cav1/tmc6b/krt5/si:ch211-166a6.5/micu2/sorbs3/tuba8l2/si:ch211-105c13.3/spint1b/sh3d21/sema4e/myh9a/zgc:92313/egfl6/csrp1a/tagln2/aep1/si:busm1-71b9.3/sh3d19/zgc:162730/asap2b/slco2b1/si:ch211-256a21.4/krt4/mpzl2b/col4a6/ptgs2a/aqp3a/pnp5a/si:ch211-76l23.4/si:ch73-335l21.4/traf3ip2l/st14a/cebpd/hdlbpa/apoeb/pof1b/pdlim1/itga6b/zgc:92380/prrg2/tuba8l/gsnb/anxa2a/sh3gl1a/pak2a/si:ch211-129c21.1/ca6/tspan33a/dlx3b/znf296/zgc:158343/rbp4/zgc:153911/cd151l/slc38a5b/pycard/capns1a/rhbg/tmem238a/actn1/anxa1a/padi2/gstm.3/cfl1l/xkr8.1/zgc:101810/itgb1b.1/postnb/lama5/zgc:113223/zgc:171775/col1a1b/krt15"
"4","eye (non retina)","eye (non retina)",198,0.640195531798752,2.72793564492855,1e-10,1.34285714285714e-09,5.26315789473684e-10,3493,"tags=59%, list=17%, signal=49%","si:ch1073-190k2.1/vsig8b/CU571315.2/zgc:172075/si:dkey-193p11.2/anxa1b/ftr83/hhla2b.2/si:ch211-135n15.2/si:dkey-19b23.12/zgc:136892/pllp/si:dkeyp-11e3.1/pkp1b/tjp3/chmp4c/cldnf/b4galnt3b/si:dkey-125i10.3/pttg1ipa/crb3b/zgc:158404/oclna/rhcga/f11r.1/si:ch211-125o16.4/mslna/si:dkey-160o24.3/epdl1/scel/si:ch211-79k12.1/si:ch211-139n6.3/si:ch73-347e22.8/capn9/fut9b/tmem45b/caspb/s100v1/tmem176l.4/elf3/gna14/tprg1/si:ch211-98n17.5/abcb5/lpcat4/si:dkey-184p9.7/si:ch211-28p3.3/cd9b/si:ch211-157c3.4/soul2/si:dkey-87o1.2/spint2/elovl7b/apodb/ponzr3/si:ch211-149a19.3/si:ch73-52f15.5/krt17/ppl/tmem54a/epcam/si:dkey-239b22.2/capn2b/si:ch211-69b7.6/krt92/esrp1/si:ch1073-443f11.2/znf185/zgc:158263/si:ch211-195b11.3/si:ch73-204p21.2/cast/zgc:111983/cldne/si:ch211-105c13.3/mid1ip1a/foxq1b/zgc:92313/hsd11b1la/pcdh20/s100u/aep1/il20ra/stard14/clic3/si:ch211-207n23.2/zgc:154054/gbgt1l4/si:dkey-165e24.1/zgc:123217/krt1-19d/dbnla/zgc:174938/cx30.3/anxa1c/si:ch211-217k17.9/eppk1/nqo1/oclnb/ponzr2/tmprss4a/prss60.3/plekhf1/rhcgl1/pof1b/si:cabz01007794.1/zgc:110333/fam129aa/gsnb/anxa2a/ptgis/si:dkeyp-86h10.3/agr1/abca12/capn2l/stx11b.1/ildr1a"
"5","lens #2","lens #2",111,-0.625972182991818,-2.49720233415553,1e-10,1.34285714285714e-09,5.26315789473684e-10,2833,"tags=35%, list=14%, signal=30%","elavl3/snn/fes/kcnt1/khdrbs2/slc6a1a/st8sia5/gas7a/zmat3/sox11a/gtf3c2/pbx1a/ank2b/atp6v0cb/sytl5/lhx1a/crygm2d2/cryaa/crygmxl2/crygm2d11/crygm2d13/crygm2d7/crygm2d12/crygm2d6/crygm2d20/si:ch211-255g12.6/crygm2d18/crygm2d15/crygm2d4/crygm2d9/crygm2d1/crygm2d10/crygm2d5/crygm2d14/crygm2d3/crygm2d16/crygm2d21/crygm2d8/atp8b4"
"6","eye (cornea), cartilage","eye (cornea), cartilage",228,0.552068352405588,2.38109786151735,1e-10,1.34285714285714e-09,5.26315789473684e-10,4843,"tags=50%, list=23%, signal=39%","omd/calhm2/igsf10/itga10/cldn11b/ucmab/fbln5/hyal4/fpr1/mxra8a/serpinf1/loxl2b/srpx2/coch/loxa/cd248a/vasnb/angptl2b/lgals9l3/prrx1a/fgfrl1a/enpp2/tgfbi/cbfb/si:dkey-12l12.1/pcolcea/mmp2/ecm2/foxc1b/mmp14a/si:dkey-7j14.6/foxf2a/zgc:113307/s100v2/lum/foxd2/klf2a/plpp2b/barx1/foxc1a/prelp/gsc/pmp22a/zgc:162612/lrrc17/tagln2/angptl1a/scxa/col11a2/tram2/zgc:162730/mxra8b/flot1b/cpxm1a/fzd2/ms4a17a.9/nkx3.2/rnd3b/sult6b1/fzd7b/eya1/arpc1b/six1a/six2a/cxcl12b/yap1/tfpia/tuba8l/wfdc2/cyr61/aspn/matn4/si:ch1073-291c23.2/bmp5/angptl7/si:ch211-212k18.9/epyc/zgc:158343/krt8/zgc:66433/atoh8/ctsk/tspan7/fstl3/rbp4/net1/gpx7/ucmaa/mych/tpt1/slc38a5b/ntd5/mmp14b/dcn/anxa1a/olfml3b/reck/cnn2/cthrc1a/postnb/angptl5/colec12/tmem119b/cldn11a/col1a1b/pdgfrl/junba/serpinh1b/sdc4/foxf2b/fkbp10b/anxa4/pcdh18b/itga11a"
"7","otic vesicle","otic vesicle",167,0.540492782092651,2.23988868781609,1e-10,1.34285714285714e-09,5.26315789473684e-10,3708,"tags=45%, list=18%, signal=37%","sh2d4bb/cx28.8/klhdc7a/sh2d4ba/si:ch211-243g18.2/pllp/rsph14/espnla/si:ch211-193l2.10/klhl30/armc3/tagapa/gfi1aa/chrna9/s100a1/f11r.1/tekt1/zgc:103586/otofb/cox4i1l/dnajc5b/wdr95/si:ch211-57i17.5/gcnt4a/si:ch211-284k5.2/twf2a/ak9/tmprss3a/spata18/pvalb9/spint2/cyp39a1/ap1m2/daw1/si:dkey-222f2.1/si:dkey-16l2.17/capgb/CABZ01118004.1/twf2b/fgf10a/s100s/vsig8a/baiap2l2a/zgc:158263/arhgef38/nenf/mkrn2os.2/cfap52/gfi1ab/myo15aa/atp6v1c2/btc/fscn2b/calml4a/glod5/echdc2/atoh1a/foxj1a/si:ch73-199e17.1/cnot10/si:ch73-50f9.4/hsd17b7/si:dkey-96l17.6/pcsk5a/si:ch211-172l8.4/clic5a/ankrd24/si:dkey-288a3.2/si:ch211-218o21.4/pkp3b/anxa5a/osbpl1a/six1b/dnah9l/nme5"
"8","cartilage #2","cartilage #2",230,0.470088821619413,2.02767337830564,6.87470456696023e-10,8.07777786617828e-09,3.16598236636327e-09,4808,"tags=39%, list=23%, signal=30%","klf2b/si:dkey-6n6.1/ucmab/serpinf1/loxl2b/cd248a/vasnb/kdelr3/prrx1a/fgfrl1a/fgfrl1b/tgfbi/matn1/pcolcea/enpp1/mmp2/ecm2/foxc1b/mmp14a/si:dkey-7j14.6/zgc:113307/s100v2/hapln1a/lum/klf2a/foxc1a/pmp22a/lrrc17/angptl1a/col11a2/emilin1b/tram2/serpinh2/zgc:162730/mxra8b/nck1a/cpxm1a/ms4a17a.11/fzd2/ms4a17a.9/etv4/fzd7b/eya1/arpc1b/six1a/six2a/yap1/tfpia/tuba8l/enpp6/wfdc2/cyr61/aspn/tmem263/matn4/ca6/creb3l1/epyc/krt8/atoh8/si:dkey-31g6.6/tspan7/fstl3/gpx7/snai1a/thbs1b/tpt1/slc38a5b/rpl21/ntd5/mmp14b/dcn/fxyd1/olfml3b/reck/cnn2/cthrc1a/postnb/vstm4a/angptl5/colec12/tmem119b/pdgfrl/serpinh1b/adgrg6/eya2/sdc4/fkbp10b/ftr82"
"9","retina (RPE differentiation)","retina (RPE differentiation)",192,0.492644656780346,2.0846819771823,1.28284744980358e-09,1.33986289201708e-08,5.25142230913748e-09,3346,"tags=37%, list=16%, signal=31%","slc2a11l/si:ch211-248a14.8/slc23a1/IZUMO1R/slc5a2/gstp2/slc5a12/p2rx4a/hs1bp3/pdzk1ip1/anpepb/slc7a9/hnf1ba/fetub/zgc:175280/si:ch211-193l2.10/slc5a9/eps8l3b/slc22a2/muc13b/tspan35/pdzk1/serinc2/slc6a19b/tfec/si:rp71-17i16.6/cdh17/g6pca.2/acmsd/atp1a1a.4/hao1/tmem174/snx8a/si:dkey-28n18.9/slc24a5/rdh1/si:ch211-201h21.5/hoga1/zgc:110789/uroc1/pcbd1/ftcd/si:ch73-61d6.3/epdl2/eps8l3a/sorbs3/srgn/gnpda1/agxtb/ctsh/vamp3/f2rl1.1/rab32a/hps1/col4a6/dab2/grhprb/gstt1a/ehd1b/nqo1/bace2/slc26a1/akr7a3/st3gal7/fbp1b/rnaseka/bhlhe41/zgc:91890/hey2/cox6a2/gpt2l"
"10","pharangeal arch/pectoral fin (mesoderm)","pharangeal arch/pectoral fin (mesoderm)",222,0.473736323891717,2.03761697638527,2.07777081418037e-09,1.95310456532955e-08,7.65494510487507e-09,4537,"tags=44%, list=22%, signal=35%","pigr/cyp1c2/cldn11b/si:ch211-227m13.1/mxra8a/serinc2/serpinf1/alx4b/loxa/zgc:56585/fgfrl1a/osr1/rhogb/vcanb/CU914487.1/pcolcea/mmp2/MMP23B/mmp14a/si:dkey-7j14.6/si:dkey-16l2.20/s100v2/tppp3/lum/klf2a/glud1a/agtr2/si:ch211-105c13.3/fgl2b/si:dkey-238i5.2/nid2a/glipr2l/ccl25b/pmp22a/lrrc17/tagln2/rerglb/zgc:162730/mustn1a/mxra8b/flot1b/nck1a/ms4a17a.11/fzd2/ms4a17a.9/emilin2a/si:dkeyp-23e4.3/rnd3b/krt4/fzd7b/aqp3a/tax1bp3/gstt1a/si:ch73-335l21.4/ugt1b5/sult1st1/cebpd/six1a/tfpia/wfdc2/cyr61/aspn/ca6/si:ch1073-291c23.2/nid1a/si:ch211-212k18.9/pkp3b/zgc:158343/krt8/fn1b/ctsk/lsp1/rbp4/rgs5a/tpt1/slc38a5b/krt94/ntd5/col5a2a/si:ch211-195o20.7/dcn/zfp36l1b/anxa1a/rpz5/cnn2/cthrc1a/vstm4a/colec12/cldn11a/col1a1b/sost/krt15/pdgfrl/junba/serpinh1b/si:ch211-251f6.6/ndnf/ms4a17a.7"
"11","microglia","microglia",165,0.516693770643971,2.13640789129147,2.55388883304973e-09,2.18241409369704e-08,8.55369465614742e-09,4802,"tags=54%, list=23%, signal=42%","si:ch211-283g2.2/btk/glipr2/itgb2/il10ra/si:ch211-147m6.1/cxcr3.2/SLA (1 of many)/tnfb/si:ch211-1o7.3/si:ch73-281k2.5/spice1/ccr9a/lcp2a/serpinb1l1/wasb/si:ch211-125e6.5/plxnc1/spi1a/tnfaip8l2a/xaf1/cx32.2/fam49ba/nrros/si:dkey-69o16.5/lgals9l3/lcp1/si:ch211-212k18.7/ctss2.2/zgc:194312/gpr183a/rac2/hmha1b/enpp1/bin2b/capgb/ms4a17a.10/cebpb/lgals2a/rgs13/hcls1/mpeg1.1/glud1a/NCKAP1L/skap2/si:ch211-226m16.2/gnpda1/spi1b/si:dkey-25e12.3/si:ch73-236c18.7/alox5ap/ctsa/ctsh/irf8/slco2b1/c1qc/p2ry11/ncf1/ctsz/marco/arpc1b/apoeb/rgs2/rnaseka/si:dkey-102g19.3/lect2l/ehd4/zgc:123107/lgals9l1/mfng/pycard/c1qb/tcirg1b/si:dkeyp-68b7.12/pitpnaa/si:dkey-5n18.1/gsto2/havcr1/si:cabz01074946.1/asah1b/lgals3bpa/zmp:0000001082/mapre1a/bzw2/ctsl.1/arhgap4a/ctss2.1/wasa/scpep1"
"12","retina (RGC)","retina (RGC)",225,-0.458801085570474,-1.97897570941804,4.1123068526982e-09,3.22130703461359e-08,1.26255034951261e-08,7462,"tags=55%, list=36%, signal=36%","stmn1b/rlbp1a/satb2/hmx1/p4htm/atp2b1a/chrnb3b/otofa/scrt2/si:dkey-7j14.5/gng3/tbx2b/ppp1r14c/hmx4/cacng5a/SMIM18/foxg1b/pcp4a/daam2/olfm1b/cplx2l/irx4b/kiaa1549la/magi1b/mt-nd3/snap25b/si:dkey-16p21.8/si:dkey-280e21.3/sncga/cd9a/nmbb/gpr137bb/six6b/ywhaqa/marcksl1b/rgs16/kcnip3a/mab21l1/syt9b/KCNV1/ahr1b/cd36/apof/pou4f1/pcbp4/rtn4rl2a/nrn1a/pax10/tpi1a/six3b/scrt1a/nav3/tspan18a/nrgna/mef2aa/id4/chrnb3a/syngr3b/sox6/pax6b/isl2b/tsc22d1/kcnip3b/zgc:158291/pcbp3/nptx1l/barhl2/rab6ba/si:ch211-151p13.8/atp2b3b/mafaa/pou6f2/zfhx3/nr3c2/ndrg4/kcnd1/calb2b/inab/rtn3/gnb1b/oaz2b/si:ch211-149b19.2/gpm6aa/vav3b/hsp70.2/si:ch211-248l17.3/grm6b/CABZ01055522.1/foxp1b/bdnf/asic4b/fgf12b/RAMP1/si:dkey-164f24.2/gnao1a/vsnl1a/cabp5b/pax6a/st8sia5/irx4a/crabp1a/gpr158b/tkta/si:ch73-290k24.5/syt2a/slc17a7b/il1rapl2/frem2a/eno2/cacna1aa/pbx1a/clstn2/gpr132b/si:ch73-22o12.1/gria4a/glra4b/rbpms2a/rxraa/pde4ba/pcdh19/si:ch211-286b5.6/rbpms2b/chrnb2l/gabrb1"
"13","dorsal diencephalon (thalamus) #1","dorsal diencephalon (thalamus) #1",227,-0.463772575076901,-2.00324127916358,5.03852920321605e-09,3.64324419309468e-08,1.42792325597216e-08,7559,"tags=52%, list=37%, signal=34%","cnih3/zgc:153426/luzp2/aldocb/stmn1b/tcf7l2/ak5/gng2/ckmt1/gng3/BNC1/cbx1b/camk2d2/runx1t1/camk2n1a/necab1/pcp4a/rtn4r/olfm1b/csdc2a/cplx2l/stap2a/gap43/calm3a/ngb/zgc:65894/ca10a/calm1a/cntnap2a/ptmaa/calm2a/hsbp1a/marcksb/ldb2b/cbln2b/tox/snap25a/marcksl1b/si:dkeyp-123h10.2/tubb5/mab21l1/olfm3a/ppiab/stx1b/alcama/syn2a/smdt1a/crhb/pou4f1/barhl1b/hmgb1a/lhx9/syt1a/robo1/fam49a/ywhag1/sncb/nrn1a/pou3f1/si:dkey-238f9.1/camkvb/nat8l/fundc1/syt9a/rnd1b/tenm3/adcyap1b/si:ch211-196l7.4/lef1/cdk5r2a/elmod1/nptx1l/barhl2/cygb2/hmgb3a/id2a/nrp1a/hist2h2l/zfhx3/CAMK2N1/myt1la/rnasekb/shox/maptb/bcl2b/gnb1b/gpm6aa/nova2/dnajc5aa/celf2/epb41a/stxbp1a/rbfox3a/bdnf/pth2/ldb2a/khdrbs2/gabrb4/slc6a1a/st8sia5/gas7a/bsg/celf4/bcl11ba/syt2a/vamp2/plxna1a/stmn2b/eno2/rnd1a/pbx1a/pcdh7b/atp6v0cb/ncalda/pde4ba/si:ch211-202e12.3/pcdh19/slc17a6b/fam168a"
"14","muscle","muscle",221,0.457986843945211,1.96507347731924,1.4639201473934e-08,9.35501281391779e-08,3.66657837051649e-08,3834,"tags=32%, list=19%, signal=26%","nkx3.3/trim109/obscnb/zgc:113276/prr33/jam2b/asb10/rnf207b/klhl31/nkx2.3/txlnba/zgc:92518/chrnb1/fgfrl1a/hsp90aa1.1/chrna1/entpd5b/flncb/sgca/actn3b/trim63a/apobec2a/lgals2a/mybpc3/tnni2b.1/hlx1/myhz2/anxa6/acta1b/nid2a/atp2a1/stac3/pmp22a/ckmb/tnfrsf19/tnnt3a/actc1a/srl/muc13a/trim101/ckma/eya1/actn3a/txnipb/lrrc39/unc45b/cav3/mylpfa/megf10/neb/pkmb/myl1/chrnd/smyhc2/wif1/si:ch73-367p23.2/atoh8/myod1/tnnt3b/rbfox1l/snai1a/six1b/tpt1/mybphb/chrng/zgc:100829/rpl21/alpk2/tspan12/actc1b/gapdh"
"15","cartilage #1","cartilage #1",239,0.446756854053119,1.92959463227645,1.49282119371029e-08,9.35501281391779e-08,3.66657837051649e-08,4691,"tags=34%, list=23%, signal=27%","fbln5/fstb/serpinf1/loxl2b/pax9/loxa/cd248a/aldob/zgc:56585/prrx1a/fgfrl1a/enpp2/osr1/tgfbi/si:dkey-12l12.1/pcolcea/mmp2/mmp14a/si:dkey-7j14.6/tnfaip6/s100v2/fgf10a/entpd1/hapln1a/agtr2/barx1/ccl25b/gsc/pmp22a/lrrc17/rerglb/zgc:162730/mxra8b/flot1b/slco2b1/ms4a17a.11/fzd2/ms4a17a.9/sult6b1/fzd7b/sult1st1/cebpd/cxcl12b/yap1/tuba8l/aspn/si:ch1073-291c23.2/angptl7/dlx3b/krt8/ctsk/tspan7/lsp1/fstl3/rbp4/net1/snai1a/rgs5a/tpt1/slc38a5b/rpl21/ntd5/col5a2a/dcn/zfp36l1b/olfml3b/reck/cnn2/postnb/phldb2b/wnt11r/colec12/tmem119b/cldn11a/col1a1b/sost/hgd/serpinh1b/ms4a17a.7/hpdb/sdc4"
"16","olfactory bulb","olfactory bulb",196,0.471292071359537,2.00258294065727,2.10626973326111e-08,1.2374334682909e-07,4.84996320158808e-08,5131,"tags=53%, list=25%, signal=40%","tgm1l2/si:ch73-111k22.3/or106-2/cx28.8/WDR63/nwd1/kif6/si:ch211-113e8.9/rsph14/armc3/tspan35/zgc:113425/f11r.1/efcab6/tekt1/si:rp71-17i16.6/plscr3a/zgc:110353/CABZ01025780.1/abhd2b/epdl1/or111-11/si:ch73-335l21.2/dzip1l/tmem238b/spag6/nme8/setd1bb/iqub/spef2/gcnt7/tprg1/si:dkey-184p9.7/wdr78/soul2/svopl/spint2/ap1m2/cfap53/si:dkey-16l2.17/epcam/CABZ01118004.1/mef2b/vsig8a/si:ch1073-443f11.2/zgc:158263/ap1s3b/cfap52/glod5/or106-8/echdc2/si:ch211-153b23.5/gbgt1l4/ildr1b/foxj1b/fa2h/anxa13l/zgc:113333/foxp1a/ethe1/esyt3/nqo1/oclnb/pir/fabp10b/prrg2/gsnb/ponzr6/or115-7/zgc:64106/capn2l/ildr1a/nme5/cyp2k17/pvalb5/fxyd1/anxa1a/ccdc151/gipc2/slc31a2/gsto2/TSTD1/zswim2/cnga4/icn/cdc25d/cldnb/nog5/atp2b1b/hs3st1l2/chga/cldnh/si:zfos-1056e6.1/tescb/BX511021.2/aifm4/atp1b1a/ppil1/gpx1b/gstp1/vamp8/tspan2a/htatip2"
"17","eye (cornea, epithelium)","eye (cornea, epithelium)",223,0.438492781863575,1.88673216563731,1.64806517525751e-07,9.11283096907091e-07,3.57165827455187e-07,5216,"tags=50%, list=25%, signal=38%","il11ra/calhm2/pigr/lgals3b/itga10/si:dkey-6n6.1/cldn11b/fbln5/jam2b/serinc2/serpinf1/loxl2b/f11r.1/adrb3a/vasnb/sytl4/aldob/prrx1a/fgfrl1a/enpp2/fgfrl1b/adam8a/tgfbi/matn1/mmp2/foxc1b/mmp14a/si:dkey-7j14.6/foxf2a/cyp27a7/zgc:113307/s100v2/sostdc1a/foxd2/klf2a/sorbs3/foxc1a/pitx1/ccl25b/pmp22a/csrp1a/tagln2/angptl1a/zgc:162730/mxra8b/flot1b/steap4/cpxm1a/fzd2/ms4a17a.9/rnd3b/asip1/sult6b1/fzd7b/aqp3a/foxp1a/eya1/crlf1a/cebpd/six1a/pdlim1/tfpia/enpp6/wfdc2/cyr61/matn4/ca6/nid1a/thrap3a/zgc:158343/krt8/zgc:66433/tmem176l.1/pitx2/lsp1/dhrs9/fstl3/net1/snai1a/thbs1b/tpt1/slc38a5b/ntd5/zfp36l1b/fxyd1/olfml3b/cnn2/bmp2b/gpc4/fhl2a/wnt11r/aoc2/cldn11a/pdgfrl/junba/serpinh1b/id3/eya2/sdc4/fstl1a/ftr82/npr3/anxa4/si:dkeyp-44a8.4/mgst1.2/clcf1/atp1b1a/hhip/myl9b/msx3/actb2/cd81a"
"18","cartilage #3","cartilage #3",209,0.446364268830116,1.913799998793,2.61600965511717e-07,1.36613837545008e-06,5.35440572684801e-07,5003,"tags=42%, list=24%, signal=32%","loxl4/itih6/klf2b/itga10/cyr61l2/si:dkey-6n6.1/ucmab/slc17a9b/serpinf1/loxl2b/cyr61l1/kdelr3/aldob/scin/gcnt4a/fgfrl1b/matn1/cpxm1b/pcolceb/sh2d4a/mmp2/foxc1b/mmp14a/capgb/si:ch211-106h11.3/b3gnt7l/slc10a7/anxa6/foxc1a/prelp/pmp22a/tdh/angptl1a/col11a2/tram2/serpinh2/zgc:162730/nkx3.2/papss2a/efemp2a/arpc1b/hdlbpa/golim4b/atl3/creb3l2/pak2a/tmem263/matn4/creb3l1/epyc/krt8/fn1b/ehd4/si:dkey-31g6.6/slc43a1a/tspan7/rgcc/hand2/gpx7/snai1a/slc2a10/thbs1b/frzb/si:ch211-197g15.7/gale/timp2b/fxyd1/anxa1a/pcolce2b/cthrc1a/gpc4/ugdh/pdcd6/mob2b/hvcn1/serpinh1b/sox10/cthrc1b/fam114a1/fbp1a/fam129ba/sdc4/MDFI/emp3b/fkbp10b/p4ha2/si:dkey-119m7.8/elovl1b"
"19","neutrophils","neutrophils",125,0.506573488202116,2.00244646863811,4.00949519262085e-07,1.98364499003347e-06,7.77464441782436e-07,2654,"tags=46%, list=13%, signal=40%","si:ch73-248e21.5/CABZ01075242.1/si:dkey-171c9.3/ccdc88b/cpa5/zgc:158868/itgb2/ms4a17a.6/SLA (1 of many)/mpx/si:dkey-185m8.2/glipr1a/ccr9a/lcp2a/wasb/tagapa/tnfaip8l2a/blf/fam49ba/si:ch211-105j21.9/mmp13a/stx11a/si:ch211-136m16.8/lcp1/rgs14a/zgc:194312/gpr183a/rhogb/scinlb/rac2/p2rx1/acap1/hmha1b/bin2b/rasal3/capgb/cebpb/rassf2b/grap2a/rgs13/NCKAP1L/skap2/srgn/si:ch211-226m16.2/spi1b/si:ch211-9d9.1/si:ch211-119e14.1/zgc:162730/cyldb/si:ch73-359m17.5/runx3/cd226/si:dkey-262k9.4/zgc:154055/ncf1/rorc/zgc:171686"
"20","dorsal diencephalon (thalamus) #2","dorsal diencephalon (thalamus) #2",223,-0.426777687717711,-1.83680533929563,4.68819411019562e-07,2.20345123179194e-06,8.63614704509719e-07,7266,"tags=52%, list=35%, signal=34%","calb2a/pbx3b/zgc:153426/luzp2/stmn1b/ak5/gng2/ckmt1/si:dkey-7j14.5/gng3/cbx1b/ppp1r14c/atp6v1c1a/camk2n1a/pcp4a/olfm1b/csdc2a/cplx2l/ppp1r1c/necap1/calm3a/ca10a/calm1a/ptmaa/calm2a/marcksb/h1f0/lmo1/cbln2b/mcama/tox/snap25a/ntng2a/marcksl1b/si:dkeyp-123h10.2/mab21l1/atf5b/slc35g2b/sfxn5b/nmnat2/stx1b/KCNV1/tfap2e/dynll2b/syn2a/pou4f1/hmgb1a/lhx9/ywhag1/sncb/nrn1a/lhx2b/pou3f1/si:dkey-238f9.1/stc2a/camkvb/nat8l/hp1bp3/fundc1/auts2a/nrgna/efna2a/syt9a/atp2b2/id4/si:ch211-254n4.3/si:ch211-196l7.4/lef1/tsc22d1/gabra1/kcnj3b/zgc:153018/barhl2/hmgb3a/id2a/CAMK2N1/kctd15a/grip2b/myt1la/rnasekb/ndrg4/shox/zgc:92287/bcl2b/oaz2b/roraa/gpm6aa/nova2/dnajc5aa/epb41a/zmat4a/pcdh7a/stxbp1a/rbfox3a/map6d1/cacng8b/RAMP1/khdrbs2/slc6a1a/bsg/pcp4l1/si:ch73-290k24.5/bcl11ba/syt2a/vamp2/sox11a/si:ch73-1a9.3/stmn2b/eno2/pcdh7b/h3f3d/chd3/atp6v0cb/fam168a/CT990561.1/erfl1"
